Name,Code
Bridgetown,50180
Brigadoon,50181
Bringo,50182
Broadwater (WA),50183
Broadwood,50184
Brockman,50185
Broke (WA),50186
Brookdale (WA),50187
Brookhampton,50188
Brookton,50189
Broome,50190
Broomehill East,50191
Broomehill Village,50192
Broomehill West,50193
Brown Hill (WA),50194
Brown Range,50195
Bruce Rock,50196
Brunswick (WA),50197
Buckingham (WA),50198
Buckland (WA),50199
Bulgarra,50200
Bull Creek (WA),50201
Bullabulling,50202
Bullaring,50203
Buller,50204
Bullfinch,50205
Bullock Hills,50206
Bullsbrook,50207
Bulong,50208
Bulyee,50209
Bunbury (WA),50210
Bundanoon (WA),50211
Buniche,50212
Bunjil,50213
Buntine,50214
Burakin,50215
Buraminya,50216
Burekup,50217
Burges,50218
Burlong,50219
Burma Road,50220
Burns Beach,50221
Burnside (WA),50222
Burracoppin,50223
Burran Rock,50224
Burrup,50225
Burswood,50226
Bushmead,50227
Busselton,50228
Butler (WA),50229
Byford,50230
Cable Beach,50231
Cadoux,50232
Caiguna,50233
Calingiri,50234
Calista,50235
Caljie,50236
Callcup,50237
Camballin,50238
Cambridge Gulf,50239
Camillo,50240
Cancanning,50241
Cane,50242
Canna,50243
Canning Mills,50244
Canning Vale,50245
Cannington,50246
Cape Arid,50247
Cape Burney,50248
Cape Le Grand,50249
Cape Range National Park,50250
Capel,50251
Capel River,50252
Capricorn,50253
Caraban,50254
Carabooda,50255
Carani,50256
Carbla,50257
Carbunup River,50258
Cardiff (WA),50259
Cardup,50260
Carey Park,50261
Carine,50262
Carlisle,50263
Carlotta,50264
Carmel,50265
Carnamah,50266
Carnarvon,50267
Carrabin,50268
Carramar (WA),50269
Carrolup,50270
Cartmeticup,50271
Cascade (WA),50272
Castletown,50273
Casuarina (WA),50274
Cataby,50275
Catterick,50276
Caversham,50277
Centennial Park (WA),50278
Cervantes,50279
Chadwick,50280
Champion Lakes,50281
Chandler (WA),50282
Changerup,50283
Channybearup,50284
Chapman Hill,50285
Charley Creek,50286
Cherry Tree Pool,50287
Cheynes,50288
Chichester (WA),50289
Chidlow,50290
Chittering,50291
Chowerup,50292
Churchlands,50293
City Beach,50294
Clackline,50295
Claremont (WA),50296
Clarkson,50297
Cleary,50298
Cleaverville,50299
Clifton (WA),50300
Cloverdale,50301
Coblinine,50302
Coburn,50303
Cockburn Central,50304
Cocklebiddy,50305
Codjatotine,50306
Cold Harbour,50307
Collanilling,50308
College Grove,50309
Collie (WA),50310
Collie Burn,50311
Collingwood Heights,50312
Collingwood Park (WA),50313
Collins,50314
Commodine,50315
Como (WA),50316
Condingup,50317
Connolly,50318
Contine,50319
Coodanup,50320
Coogee (WA),50321
Cookernup,50322
Cooladar Hill,50323
Coolbellup,50324
Coolbinia,50325
Coolcalalaya,50326
Coolgardie (WA),50327
Cooljarloo,50328
Cooloongup,50329
Coolup,50330
Coomalbidgup,50331
Coomberdale,50332
Coonabidgee,50333
Coondle,50334
Coorow,50335
Cooya Pooya,50336
Copley (WA),50337
Coral Bay,50338
Corinthia,50339
Corrigin,50340
Cosmo Newbery,50341
Cossack (WA),50342
Cottesloe,50343
Courtenay,50344
Cowalellup,50345
Cowalla,50346
Cowaramup,50347
Cowcowing,50348
Coyrecup,50349
Craigie (WA),50350
Cramphorne,50351
Cranbrook (WA),50352
Crawley,50353
Crooked Brook,50354
Crossman,50355
Crowea,50356
Cuballing,50357
Cubbine,50358
Cue,50359
Culham,50360
Cullacabardee,50361
Cullalla,50362
Cundeelee,50363
Cunderdin,50364
Cundinup,50365
Cunjardine,50366
Currambine,50367
Cuthbert,50368
Daadenning Creek,50369
Daggar Hills,50370
Daglish,50371
Dale,50372
Daliak,50373
Dalkeith,50374
Dalwallinu,50375
Dalyellup,50376
Dalyup,50377
Dampier,50378
Dampier Peninsula,50380
Dandanning,50381
Dandaragan,50382
Dangin,50383
Darch,50384
Dardadine,50385
Dardanup,50386
Dardanup West,50387
Darkan,50388
Darling Downs,50389
Darlington (WA),50390
Darradup,50391
Dartmoor (WA),50392
Dartnall,50393
Datatine,50394
Davenport (WA),50395
Dawesville,50396
Dayton,50397
De Grey,50398
Deanmill,50399
Deepdale,50400
Deepdene (WA),50401
Denbarker,50402
Denham,50403
Denmark,50404
Derby (WA),50405
Devils Creek,50406
Dewars Pool,50407
Diamond Tree,50408
Dianella,50409
Dindiloa,50410
Dingup,50411
Dinninup,50412
Dixvale,50414
Djugun,50415
Dongara,50416
Dongolocking,50417
Donnelly River,50418
Donnybrook (WA),50419
Doodenanning,50420
Doodlakine,50421
Doubleview,50423
Dowerin,50424
Drome,50425
Drummond Cove,50426
Dryandra,50427
Drysdale River,50428
Dudawa,50429
Dudinin,50430
Dudley Park (WA),50431
Dukin,50432
Dulbelling,50433
Dulyalbin,50434
Dumbarton,50435
Dumberning,50436
Dumbleyung,50437
Duncraig,50438
Dundas (WA),50439
Dunn Rock,50440
Dunsborough,50441
Durack (WA),50442
Duranillin,50443
Durawah,50444
Dwarda,50445
Dwellingup,50446
Eagle Bay,50447
East Augusta,50448
East Ballidu,50449
East Beverley,50450
East Bowes,50451
East Bunbury,50452
East Cannington,50453
East Carnarvon,50454
East Chapman,50455
East Damboring,50456
East Fremantle,50457
East Lyons River,50458
East Munglinup,50459
East Murchison,50460
East Nabawa,50461
East Nannup,50462
East Newdegate,50463
East Perth,50464
East Pingelly,50465
East Popanyinning,50466
East Rockingham,50467
East Victoria Park,50468
East Wickepin,50469
East Yuna,50470
Eastbrook,50471
Eaton (WA),50472
Eden Hill,50473
Edgewater,50474
Eganu,50475
Eglinton (WA),50476
Eighty Mile Beach,50477
Elabbin,50478
Elachbutting,50479
Elgin (WA),50480
Elleker,50481
Ellenbrook,50482
Ellendale (WA),50483
Embleton,50484
Emu Flat (WA),50485
Emu Point,50486
Eneabba,50487
Ennuin,50488
Eradu,50489
Eradu South,50490
Erskine (WA),50491
Esperance,50492
Etmilyn,50493
Eucla,50494
Eurardy,50495
Ewlyamartup,50496
Exmouth,50497
Exmouth Gulf,50498
Fairbridge,50499
Falcon,50500
Ferguson (WA),50501
Ferndale (WA),50502
Feysville,50503
Fimiston,50504
Finucane,50505
Fitzgerald (WA),50506
Fitzgerald River National Park,50507
Fitzroy Crossing,50508
Flint,50509
Floreat,50510
Flynn (WA),50511
Forest Grove (WA),50512
Forest Hill (WA),50513
Forrest (WA),50514
Forrest Beach (WA),50515
Forrestania,50516
Forrestdale,50517
Forrestfield,50518
Fortescue (WA),50519
Frankland River,50520
Fraser Range,50521
Fremantle,50522
Furnissdale,50523
Gabalong,50524
Gabbadah,50525
Gabbin,50526
Gairdner,50527
Gap Ridge,50528
Gascoyne Junction,50530
Gascoyne River,50531
Geegully Creek,50532
Gelorup,50533
Geographe,50534
Georgina (WA),50535
Geraldton,50536
Ghooli,50537
Gibb,50538
Gibson,50539
Gibson Desert North,50540
Gibson Desert South,50541
Gidgegannup,50542
Gilgering,50543
Gillimanning,50544
Gillingarra,50545
Gilroyd,50546
Gingerah,50547
Gingin,50548
Ginginup,50549
Girrawheen,50550
Gledhow,50551
Glen Forrest,50552
Glen Iris (WA),50553
Glen Mervyn,50554
Glencoe (WA),50555
Glendalough,50556
Glenfield (WA),50557
Glenlynn,50558
Glenoran,50559
Glentromie,50560
Gnangara,50561
Gnarabup,50562
Gnoorea,50563
Gnowangerup,50564
Gnowellen,50565
Golden Bay,50566
Goode Beach,50567
Goodlands,50568
Goomalling,50569
Goomarin,50570
Gooseberry Hill,50571
Gorge Rock,50572
Gorrie,50573
Gosnells,50574
Gracetown,50575
Granville (WA),50576
Grass Patch,50577
Grass Valley,50578
Green Head,50579
Green Range,50580
Green Valley (WA),50581
Greenbushes,50582
Greenfields,50583
Greenhills,50584
Greenmount (WA),50585
Greenough,50586
Greenwood (WA),50587
Greenwoods Valley,50588
Gregory (WA),50589
Grey,50590
Greys Plain,50591
Grimwade,50592
Guilderton,50593
Guildford (WA),50594
Gundaring,50595
Gunyidi,50596
Gutha,50597
Gwambygine,50598
Gwelup,50599
Gwindinup,50600
Hacketts Gully,50601
Halls Creek (WA),50602
Halls Head,50603
Hamel,50604
Hamelin Bay,50605
Hamelin Pool,50606
Hamersley,50607
Hamersley Range,50608
Hamilton Hill,50609
Hammond Park,50610
Hannans,50611
Harris River,50612
Harrisdale,50613
Harrismith,50614
Harvey,50615
Hastings (WA),50616
Hatter Hill,50617
Hay (WA),50618
Haynes,50619
Hazelmere,50620
Hazelvale,50621
Heathridge,50622
Helena Valley,50623
Henderson,50624
Henley Brook,50625
Henty (WA),50626
Herdsman,50627
Herne Hill (WA),50628
Herron,50629
Hester,50630
Hester Brook,50631
Higginsville,50632
High Wycombe,50633
Highbury (WA),50634
Highgate (WA),50635
Hilbert,50636
Hill River (WA),50637
Hillarys,50638
Hillman,50639
Hillside (WA),50640
Hilton (WA),50641
Hindmarsh (WA),50642
Hines Hill,50643
Hithergreen,50644
Hocking,50645
Hoddys Well,50646
Hoffman,50647
Holleton,50648
Holmwood,50649
Holt Rock,50650
Holyoake,50651
Hope Valley (WA),50652
Hopeland (WA),50653
Hopetoun (WA),50654
Horrocks,50655
Hovea,50657
Howatharra,50658
Howick (WA),50659
Hulongine,50660
Huntingdale (WA),50661
Hyden,50662
Ikewa,50663
Iluka (WA),50664
Indee,50665
Inggarda,50666
Inglehope,50667
Inglewood (WA),50668
Inkpen,50669
Innaloo,50670
Innawanga,50671
Irishtown (WA),50672
Irrunytju,50673
Irwin,50674
Israelite Bay,50675
Isseka,50676
Jackitup,50677
Jacup,50678
Jalbarragup,50679
Jaloran,50680
Jandabup,50681
Jandakot,50682
Jane Brook,50683
Jardee,50684
Jarlmadangah Burru,50685
Jarrahdale,50686
Jarrahwood,50687
Jelcobine,50688
Jennacubbine,50689
Jennapullin,50690
Jerdacuttup,50691
Jerramungup,50692
Jibberding,50693
Jigalong,50694
Jilakin,50695
Jindalee (WA),50696
Jindong,50697
Jingalup,50698
Jitarning,50699
Jolimont,50700
Joondalup,50701
Joondanna,50702
Julimar,50703
Juna Downs,50704
Jurien Bay,50705
Kadathinni,50706
Kalamunda,50707
Kalannie,50708
Kalbarri,50709
Kalbarri National Park,50710
Kalgan,50711
Kalgoorlie,50712
Kalgup,50713
Kallaroo,50714
Kaloorup,50715
Kalumburu,50716
Kambalda East,50717
Kambalda West,50718
Kangaroo Gully,50719
Kanowna,50720
Kanpa,50721
Karakin,50722
Karalundi,50723
Karawara,50724
Kardinya,50725
Karijini,50726
Karlgarin,50727
Karlkurla,50728
Karloning,50729
Karloo,50730
Karnup,50731
Karragullen,50732
Karrakatta,50733
Karrakup,50734
Karramindie,50735
Karranadgin,50736
Karratha,50737
Karratha Industrial Estate,50738
Karridale,50739
Karrinyup,50740
Karroun Hill,50741
Katanning,50742
Katrine,50743
Kauring,50744
Kealy,50745
Kebaringup,50746
Kellerberrin,50747
Kelmscott,50748
Kendenup,50749
Kenmare (WA),50750
Kennedy Range,50751
Kensington (WA),50752
Kentdale,50753
Kenwick,50754
Keralup,50755
Kewdale,50756
Keysbrook,50757
Kiara,50758
Kimbolton (WA),50759
King Leopold Ranges,50760
King River,50761
Kings Park (WA),50762
Kingsford (WA),50763
Kingsley,50764
Kingston (WA),50765
Kinross,50766
Kirk Rock,50767
Kirup,50768
Kojaneerup South,50769
Kojarena,50770
Kojonup,50771
Kokeby,50772
Kondinin,50773
Kondut,50774
Konnongorring,50775
Koojan,50776
Kookynie,50777
Koolanooka,50778
Koolyanobbing,50779
Koomberkine,50780
Koondoola,50781
Koongamia,50782
Koorda,50783
Korbel,50784
Kordabup,50785
Korrelocking,50786
Kronkup,50787
Kudardup,50788
Kuender,50789
Kukerin,50790
Kulikup,50791
Kulin,50792
Kulin West,50793
Kulja,50794
Kumarina,50795
Kundat Djaru,50796
Kunjin,50797
Kununoppin,50798
Kununurra,50799
Kupartiya,50800
Kurnalpi,50801
Kurrenkutten,50802
Kweda,50803
Kwelkan,50804
Kwinana Beach,50805
Kwinana Town Centre,50806
Kwolyin,50807
Lagrange,50808
Lake Argyle,50809
Lake Austin,50810
Lake Biddy,50811
Lake Brown,50812
Lake Camm,50813
Lake Carnegie,50814
Lake Clifton,50815
Lake Coogee,50816
Lake Darlot,50817
Lake Deborah,50818
Lake Grace,50819
Lake Hinds,50820
Lake Jasper,50821
Lake King,50822
Lake Margarette,50823
Lake Muir,50824
Lake Ninan,50825
Lake Toolbrunup,50826
Lake Wells,50827
Lakelands (WA),50828
Lamington (WA),50829
Lancelin,50830
Landsdale,50831
Lange,50832
Langford,50833
Latham (WA),50834
Lathlain,50835
Laverton (WA),50836
Learmonth (WA),50837
Leda,50838
Ledge Point,50839
Leederville,50840
Leeman,50841
Leeming,50842
Leeuwin,50843
Leinster,50844
Lennard Brook,50845
Leonora,50846
Leschenault,50847
Lesley,50848
Lesmurdie,50849
Lexia,50850
Lime Lake,50851
Linfarne,50852
Little Grove,50853
Little Italy,50854
Little Sandy Desert,50855
Lockier,50856
Lockridge,50857
Lockyer (WA),50858
Lol Gray,50859
Londonderry (WA),50860
Lort River,50861
Lowden,50862
Lower Chittering,50863
Lower Hotham,50864
Lower King,50865
Lowlands,50866
Ludlow,50867
Lumeah (WA),50868
Lyalls Mill,50869
Lyndon,50870
Lynwood (WA),50871
Macleod (WA),50872
Maddington,50873
Madeley,50874
Madora Bay,50875
Madura,50876
Magenta (WA),50877
Magitup,50878
Mahogany Creek,50879
Mahomets Flats,50880
Maida Vale,50881
Maitland (WA),50882
Malabaine,50883
Malaga,50884
Malebelling,50885
Mallee Hill,50886
Malmalling,50887
Malyalling,50888
Mandogalup,50889
Mandurah,50890
Manjimup,50891
Manmanning,50892
Manning,50893
Mantamaru,50894
Manypeaks,50895
Marangaroo,50896
Maranup,50897
Marbelup,50898
Marble Bar,50899
Marchagee,50900
Mardella,50901
Mardie,50902
Margaret River (WA),50903
Mariginiup,50904
Marmion,50905
Marne,50906
Marracoonda,50907
Marradong,50908
Marrah,50909
Marrinup,50910
Martin,50911
Marvel Loch,50912
Marybrook,50913
Massey Bay,50914
Maya,50915
Mayanup,50916
Maylands (WA),50917
McAlinden,50918
McBeath,50919
McKail,50920
Meadow,50921
Meadow Springs,50922
Meckering,50923
Meda,50924
Medina,50925
Meekatharra,50926
Meeking,50927
Meelon,50928
Meenaar,50929
Meerup,50930
Melaleuca,50931
Melville (WA),50932
Menora,50933
Menzies (WA),50934
Merilup,50935
Merivale,50936
Merkanooka,50937
Merredin,50938
Merriwa (WA),50939
Meru,50940
Metricup,50941
Mettler,50942
Miamoon,50943
Middle Swan,50944
Middlesex (WA),50945
Middleton Beach,50946
Midland,50947
Midvale,50948
Miling,50949
Millars Well,50950
Millbridge,50951
Millbrook (WA),50952
Millendon,50953
Mills Lake,50954
Millstream (WA),50955
Milo,50956
Milpara,50957
Mimegarra,50958
Mindarabin,50959
Mindarie (WA),50960
Mindarra,50961
Minding,50962
Mingenew,50963
Minigin,50964
Minilya,50965
Minnenooka,50966
Minnivale,50967
Minyirr,50968
Mira Mar,50969
Mirrabooka (WA),50970
Mitchell Plateau,50971
Mobrup,50972
Mocardy,50973
Mogumber,50974
Mokine,50975
Mokup,50976
Mollerin,50977
Molloy Island,50978
Monjebup,50979
Monjingup,50980
Moodiarrup,50981
Moojebing,50982
Mooliabeenee,50983
Moondah,50984
Moondyne,50985
Moonies Hill,50986
Moonyoonooka,50987
Moora (WA),50988
Moore River National Park,50989
Mooriary,50990
Moorine Rock,50991
Morangup,50992
Morawa,50993
Morbinning,50994
Mordalup,50995
Moresby (WA),50996
Morgantown,50997
Morley,50998
Mornington (WA),50999
Mosman Park (WA),51000
Moulyinning,51001
Mount Adams,51002
Mount Anketell,51003
Mount Barker (WA),51004
Mount Budd,51005
Mount Burges,51006
Mount Caroline,51007
Mount Claremont,51008
Mount Clarence,51009
Mount Elphinstone,51010
Mount Erin,51011
Mount Hampton,51012
Mount Hardey,51013
Mount Hardman,51014
Mount Hawthorn,51015
Mount Helena,51016
Mount Hill,51017
Mount Holland,51018
Mount Horner,51019
Mount Jackson,51020
Mount Lawley,51021
Mount Lindesay (WA),51022
Mount Madden,51023
Mount Magnet,51024
Mount Melville,51025
Mount Nasura,51026
Mount Ney,51027
Mount Observation (WA),51028
Mount Palmer,51029
Mount Pleasant (WA),51030
Mount Richon,51031
Mount Romance,51032
Mount Sheila,51033
Mount Sheridan (WA),51034
Mount Stirling,51035
Mount Tarcoola,51036
Mount Walker (WA),51037
Mount Wells,51038
Mouroubra,51039
Muchea,51040
Muckenburra,51041
Mueller Ranges,51042
Muja,51043
Mukinbudin,51044
Mulataga,51045
Mulga Downs,51046
Mullaloo,51047
Mullalyup,51048
Mullewa,51049
Mullingar,51050
Muluckine,51051
Mumballup,51052
Mumberkine,51053
Mundabullangana,51054
Mundaring,51055
Mundijong,51056
Mundrabilla,51057
Mungalup,51058
Munglinup,51059
Munster,51060
Muntadgin,51061
Muradup,51062
Murchison (WA),51063
Murdoch,51064
Murdong,51065
Muresk,51066
Myalup,51067
Myara,51068
Myaree,51069
Myrup,51070
Nabawa,51071
Nairibin,51072
Nalkain,51073
Nalyerlup,51074
Namban,51075
Nambeelup,51076
Nambung,51077
Nanarup,51078
Nanga,51079
Nanga Brook,51080
Nangeenan,51081
Nangetty,51082
Nannup,51083
Nanson,51084
Nanutarra,51085
Napier,51086
Naraling,51087
Narembeen,51088
Narngulu,51089
Narra Tarra,51090
Narraloggan,51091
Narrikup,51092
Narrogin,51093
Narrogin Valley,51094
Naturaliste,51095
Naval Base,51096
Neale,51097
Nedlands,51098
Needilup,51099
Neendaling,51100
Neerabup,51101
Neergabby,51102
Nembudding,51103
Neridup,51104
Nerramyne,51105
Nerren Nerren,51106
New Norcia,51107
Newcarlbeon,51108
Newdegate,51109
Newlands (WA),51110
Newman,51111
Ngaanyatjarra-Giles,51112
Nickol,51113
Nilgen,51114
Nillup,51115
Ningaloo,51116
Nippering,51117
Nirimba (WA),51118
Noggerup,51119
Nokaning,51120
Nolba,51121
Nollamara,51122
Nomans Lake,51123
Noranda,51124
Nornalup,51125
Norpa,51126
Norseman,51127
North Baandee,51128
North Bannister,51129
North Beach (WA),51130
North Bodallin,51131
North Boyanup,51132
North Burngup,51133
North Cascade,51134
North Coogee,51135
North Dandalup,51136
North Eradu,51137
North Fremantle,51138
North Greenbushes,51139
North Jindong,51140
North Kellerberrin,51141
North Kukerin,51142
North Kununoppin,51143
North Lake,51144
North Lake Grace,51145
North Moulyinning,51146
North Perth,51147
North Plantations,51148
North Stirlings,51149
North Tammin,51150
North Trayning,51151
North Walpole,51152
North West Cape,51153
North Wialki,51154
North Yelbeni,51155
North Yunderup,51156
Northam,51157
Northampton,51158
Northbridge (WA),51159
Northcliffe,51160
Northern Gully,51161
Nowergup,51162
Nugadong,51163
Nukarni,51164
Nullagine,51165
Nullaki,51166
Nulsen,51167
Nungarin,51168
Nunierra,51169
Nunile,51170
Nyabing,51171
O'Connor (WA),51172
Oakajee,51173
Oakford,51174
Ocean Beach,51175
Ocean Reef,51176
Ogilvie,51177
Old Plains,51178
Oldbury,51179
Ongerup,51180
Onslow,51181
Oombulgurri,51182
Ora Banda,51183
Orana,51184
Orange Grove (WA),51185
Orange Springs,51186
Orchid Valley,51187
Ord River,51188
Orelia,51189
Osborne Park,51190
Osmington,51191
Padbury,51192
Palgarup,51193
Pallinup,51194
Palmdale (WA),51195
Palmer (WA),51196
Palmyra (WA),51197
Pannawonica,51198
Pantapin,51199
Papulankutja,51200
Paraburdoo,51201
Paradise (WA),51202
Pardoo,51203
Parker Range,51204
Parkerville,51205
Parkeston,51206
Parkfield,51207
Parklands (WA),51208
Parkwood (WA),51209
Parmelia,51210
Parryville,51211
Patjarr,51212
Paulls Valley,51213
Paynedale,51214
Paynes Find,51215
Paynesville (WA),51216
Peaceful Bay,51217
Peak Hill (WA),51218
Pearsall,51219
Peedamulla,51220
Peerabeelup,51221
Pegs Creek,51222
Pelican Point (WA),51223
Pemberton,51224
Peppermint Grove,51225
Peppermint Grove Beach,51226
Perenjori,51227
Perillup,51228
Peron,51229
Perth (WA),51230
Perth Airport,51231
Perup,51232
Petrudor,51233
Piara Waters,51234
Piawaning,51235
Piccadilly (WA),51236
Pickering Brook,51237
Picton (WA),51238
Picton East,51239
Piesse Brook,51240
Piesseville,51241
Pindar,51242
Pingaring,51243
Pingelly,51244
Pingrup,51245
Pinjar,51246
Pinjarra,51247
Pink Lake,51248
Pintharuka,51249
Pinwernying,51250
Pippingarra,51251
Pithara,51252
Plumridge Lakes,51253
Point Samson,51254
Popanyinning,51255
Porongurup,51256
Port Albany,51257
Port Denison,51258
Port Hedland,51259
Port Kennedy,51260
Postans,51261
Preston Beach,51262
Preston Settlement,51263
Prevelly,51264
Prince Regent River,51265
Pumphreys Bridge,51266
Purnululu,51267
Quairading,51268
Qualeup,51269
Quedjinup,51270
Queens Park (WA),51271
Queenwood,51272
Quelagetting,51273
Quellington,51274
Quindalup,51275
Quindanning,51276
Quinninup,51277
Quinns Rocks,51278
Ranford,51279
Rangeway,51280
Ravensthorpe,51281
Ravenswood (WA),51282
Rawlinna,51283
Red Gully,51284
Red Hill (WA),51285
Redbank (WA),51286
Redcliffe (WA),51287
Redgate (WA),51288
Redmond,51289
Redmond West,51290
Reedy,51291
Regans Ford,51292
Reinscourt,51293
Remlap,51294
Reservoir (WA),51295
Ridgewood (WA),51296
Ringbark,51297
Riverton (WA),51298
Rivervale,51299
Robinson,51300
Rockingham (WA),51301
Rocklea (WA),51302
Rockwell,51303
Rocky Gully (WA),51304
Roebourne,51305
Roebuck,51306
Roelands,51307
Roleystone,51308
Rosa Brook,51309
Rosa Glen,51310
Rossmore (WA),51311
Rossmoyne,51312
Rothsay,51313
Ruabon,51315
Rudds Gully,51316
Ryansbrook,51317
Sabina River,51318
Safety Bay,51319
Salmon Gums,51320
Salter Point,51321
Samson,51322
San Remo (WA),51323
Sandpatch,51324
Sandsprings,51325
Sandstone,51326
Sandy Gully (WA),51327
Sawyers Valley,51328
Scaddan,51329
Scarborough (WA),51330
Schroeder,51331
Scotsdale,51332
Scott River,51333
Scott River East,51334
Scotts Brook,51335
Seabird,51336
Secret Harbour,51337
Seppings,51338
Serpentine (WA),51339
Seville Grove,51340
Shackleton,51341
Shadforth (WA),51342
Shannon (WA),51343
Shelley (WA),51345
Shenton Park,51346
Sherlock (WA),51347
Shoalwater (WA),51348
Shotts,51349
Siesta Park,51350
Silver Sands,51351
Sinagra,51352
Sinclair,51353
Singleton (WA),51354
Sir Samuel,51355
Skeleton Rock,51356
Smith Brook,51357
Solus,51358
Somerville (WA),51359
Sorrento (WA),51360
South Bodallin,51361
South Boulder,51362
South Bunbury,51363
South Burracoppin,51364
South Carnarvon,51365
South Datatine,51366
South Doodlakine,51367
South Fremantle,51368
South Glencoe,51369
South Greenough,51370
South Guildford,51371
South Hedland,51372
South Kalgoorlie,51373
South Kukerin,51374
South Kumminin,51375
South Kununoppin,51376
South Lake,51377
South Lake Grace,51378
South Murchison,51379
South Newdegate,51380
South Perth,51381
South Plantations,51382
South Quairading,51383
South Stirling,51384
South Tammin,51385
South Trayning,51386
South Yelbeni,51387
South Yilgarn,51388
South Yuna,51389
South Yunderup,51390
Southampton (WA),51391
Southern Brook,51392
Southern Cross (WA),51393
Southern River,51394
Spalding (WA),51395
Spearwood,51396
Spencer Park,51397
Spencers Brook,51398
Springfield (WA),51399
Springs,51400
St George Ranges,51401
St James (WA),51402
St Ronans,51403
Stake Hill,51404
Stirling (WA),51405
Stirling Estate,51406
Stirling Range National Park,51407
Stoneville,51408
Stove Hill,51409
Strathalbyn (WA),51410
Stratham,51411
Stratherne,51412
Stratton,51413
Strelley,51414
Sturt Creek,51415
Subiaco,51416
Success,51417
Sunnyside (WA),51418
Sunset Beach,51419
Swan View,51420
Swanbourne,51421
Takalarup,51422
Talandji,51423
Talbot (WA),51424
Talbot West,51425
Talgomine,51426
Talisker,51427
Tamala,51428
Tamala Park,51429
Tambellup,51430
Tammin,51431
Tampu,51432
Tanami (WA),51433
Tandegin,51434
Tapping,51435
Tarcoola Beach,51436
Tardun,51437
Tarin Rock,51438
Teesdale (WA),51439
Telfer,51440
Tenindewa,51441
Tenterden (WA),51442
The Lakes,51443
The Plains,51444
The Spectacles,51445
The Vines,51446
Thomson Brook,51447
Thornlie,51448
Three Springs,51449
Throssell,51450
Tibradden,51451
Tincurrin,51452
Tingledale,51453
Tjirrkarli,51454
Tjukurla,51455
